================================================================================
 ROBOT SYSTEM RUN LOG | STARTED: 2026-08-08 10:13:17
 CSV Telemetry File : logs/telemetry_2026-08-08_10-13-17.csv
 Text System Log File: logs/system_run_2026-08-08_10-13-17.log
================================================================================
[10:13:17.309] [ SYSTEM_START  ] Telemetry and Logging system started cleanly.
[10:14:16.354] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.03° (R) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 7.88m, -3.63m) | Conf: 1.00 | GPS: (10.775663°, 106.670910° [FIX])
[10:14:17.961] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.03° (R) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 7.50m, -3.94m) | Conf: 1.00 | GPS: (10.775663°, 106.670908° [FIX])
[10:14:19.431] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 7.15m, -4.24m) | Conf: 1.00 | GPS: (10.775663°, 106.670906° [FIX])
[10:14:20.857] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.03° (R) | Vel: (0.45m/s, -0.01r/s) | Pose: ( 6.80m, -4.53m) | Conf: 0.73 | GPS: (10.775663°, 106.670904° [FIX])
[10:14:22.341] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  +0.02° (R) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 6.44m, -4.82m) | Conf: 1.00 | GPS: (10.775663°, 106.670902° [FIX])
[10:14:23.782] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, -0.00r/s) | Pose: ( 6.07m, -5.12m) | Conf: 1.00 | GPS: (10.775663°, 106.670899° [FIX])
[10:14:25.250] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.01° (L) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 5.69m, -5.42m) | Conf: 1.00 | GPS: (10.775663°, 106.670897° [FIX])
[10:14:26.679] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 5.32m, -5.73m) | Conf: 0.00 | GPS: (10.775663°, 106.670895° [FIX])
[10:14:28.185] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 4.96m, -6.02m) | Conf: 0.00 | GPS: (10.775663°, 106.670893° [FIX])
[10:14:29.732] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 4.59m, -6.32m) | Conf: 0.00 | GPS: (10.775663°, 106.670891° [FIX])
[10:14:31.251] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 4.22m, -6.62m) | Conf: 0.00 | GPS: (10.775663°, 106.670889° [FIX])
[10:14:32.796] [ SYSTEM_STATUS ] [STATUS] [   TRACKING    ] | Steer:  -0.00° (C) | Vel: (0.45m/s, +0.00r/s) | Pose: ( 3.85m, -6.92m) | Conf: 0.00 | GPS: (10.775663°, 106.670887° [FIX])
